MASV,INDEX_F_MAMH,list_score,list_similarity,prediction,F_MAMH,F_MAKH,TKET
20368634,24.0,"7.5,8.5,7.5,8.5,6.0","0.8697646385512399,0.8470115738508361,0.8287667523107037,0.8015527718453053,0.7938243881412995",7.610561843671744,PH1003,MT,7.0
20576114,1.0,"5.0,9.5,5.5,7.0,6.0","0.6982949116229777,0.37802756917781155,0.3619754180594254,0.3453899774248618,0.2466558737943441",6.388704547623347,CO2003,MT,1.5
20576114,23.0,"8.5,7.0,7.0,4.5,4.5","0.7457214123517129,0.7354064135401271,0.6828311594051935,0.6680472626008609,0.6680472626008609",6.36525136321126,503006,MT,5.5
20576114,40.0,"5.5,8.5,7.0,7.0,6.5","0.7255545632027222,0.7014623718735085,0.6957294426222941,0.6943160367789892,0.6689364536346345",6.893687138799376,506010,MT,7.5
20576114,50.0,"4.5,4.5,7.0,8.5,8.5","0.8886169561006896,0.8886169561006896,0.8121936661905476,0.7973342784709135,0.795140127970313",6.508746695094152,504005,MT,6.0
20640673,6.0,"0.0,0.0,2.0,1.5,0.0","0.6492228795756582,0.31200195766562494,0.295867563404296,0.2939650405794332,0.2672976528553943",0.5679213543271088,MT2001,MT,0.0
20640673,30.0,"0.0,0.0,1.5,0.0,0.0,0.0","0.8200406532616668,0.800335898380117,0.7500501245925913,0.7278584565534725,0.716486463187952,0.716486463187952",0.24829201343181084,1025,MT,0.0
20733148,8.0,"5.0,0.0,7.5,7.0,7.5","0.7422546518861034,0.722211735384479,0.7089201373494642,0.7033813813254293,0.7032605157894952",5.3704316173929065,MT1005,MT,1.0
20733148,9.0,"7.5,7.5,6.0,6.0,5.0","0.8505209399716357,0.8152799718993222,0.811112465518883,0.811112465518883,0.8009374439453248",6.41520644837272,CH1003,MT,7.0
20736662,85.0,"8.5,10.0,9.5,9.5,9.0","0.6215885100828551,0.6165315901949686,0.5430005230908783,0.523558070249036,0.5138628656817362",9.297677580468967,506012,MT,10.0
20763312,27.0,"5.5,0.0,5.0,2.7,4.0","0.7656288659656503,0.7274255183012662,0.7205875155430488,0.7094165381125738,0.6862372592657633",3.4561507499125033,502002,MT,3.0
20763312,50.0,"5.0,5.0,5.5,5.5,5.0,5.0","0.8511763040663789,0.8511763040663789,0.8121936661905476,0.8121936661905476,0.7540218306130184,0.7540218306130184",5.167989662639351,504005,MT,5.0
20763312,50.0,"5.0,5.0,5.5,5.5,5.0,5.0","0.8511763040663789,0.8511763040663789,0.8121936661905476,0.8121936661905476,0.7540218306130184,0.7540218306130184",5.167989662639351,504005,MT,5.0
20763312,77.0,"5.0,4.0,2.7,5.0,0.0","0.7337444811757344,0.7177677554850896,0.7173231817570133,0.6659185011458366,0.6484649677547868",3.3894391671093236,504008,MT,0.0
20769630,2.0,"7.5,8.5,5.5,7.5,5.0","0.8135772514863984,0.78930819772721,0.7676629016156078,0.7604327273231274,0.7587075114185058",6.820566075357245,CO2007,MT,7.5
20769630,12.0,"7.5,8.5,5.0,5.0,7.5","0.825599501258673,0.7941136126366702,0.7510735607737756,0.7344555106075612,0.7338617066978484",6.739481621760695,CO2001,MT,8.5
20769630,48.0,"7.5,8.5,7.0,7.5,5.5","0.6417416039870981,0.6241698378693312,0.622223542957218,0.5900583854904251,0.5724153467976859",7.227342080109547,CO3061,MT,7.0
20777220,51.0,"6.5,6.0,6.0,8.5,6.5","0.9076131526079765,0.8886169561006896,0.8886169561006896,0.7705969436827439,0.7416002770232514",6.655484880995167,506003,MT,5.5
20777220,85.0,"6.5,6.0,6.0,5.0,8.5","0.7127840486048626,0.6734091312523632,0.6734091312523632,0.599648739628137,0.5779436890867308",6.371186352371337,506012,MT,5.5
20777220,91.0,"8.5,6.0,6.0,6.5,6.5","0.5915937046226317,0.5387481663598707,0.5387481663598707,0.5076834926166098,0.41063387984372374",6.74906755713996,6023,MT,0.0
20777220,113.0,"6.0,6.0,8.5,5.0,6.5","0.6582726407039805,0.6582726407039805,0.6435796983349913,0.6041502200636502,0.5945836399929519",6.412202922575966,3004,MT,0.0
20790201,28.0,"7.5,6.5,7.5,7.5,9.5","0.7505934240118542,0.7488428100612825,0.7094165381125738,0.7094165381125738,0.7039100040133771",7.681928375373847,700200,MT,8.0
20790201,30.0,"6.5,7.5,7.5,8.5,8.5","0.800335898380117,0.7952424502453106,0.7952424502453106,0.7911893777895032,0.7500501245925913",7.6884263076448525,1025,MT,7.0
